userID	createdAt	collectedAt	numFollowings	numFollowers	numTweets	nameLen	descLen	type
6301	18/09/2006 01:07	17/01/2010 20:38	3269	3071	861	8	132	1
10836	27/10/2006 14:38	18/06/2010 03:35	1949	793	226	9	134	1
10997	29/10/2006 09:50	24/04/2010 01:12	1119	9644	38674	12	158	1
633293	14/01/2007 12:40	24/01/2010 11:59	2174	6029	12718	11	121	1
717883	27/01/2007 22:14	06/02/2010 06:25	7731	7029	873	6	70	1
763068	10/02/2007 10:51	26/07/2010 04:48	120	130	686	6	35	1
783705	20/02/2007 11:16	22/05/2010 03:35	1660	23977	23205	8	68	1
788352	22/02/2007 04:25	31/12/2009 02:18	1320	969	3528	14	106	1
810011	04/03/2007 04:32	27/01/2010 06:37	11239	10537	2749	13	59	1
815299	06/03/2007 10:32	16/04/2010 21:22	3779	3920	1830	10	120	1
817045	06/03/2007 22:11	05/01/2010 13:15	12848	12933	2315	5	63	1
964981	11/03/2007 18:12	15/01/2010 02:58	1811	2469	2897	12	88	1
1091571	13/03/2007 09:52	03/01/2010 14:19	3697	5129	7819	13	101	1
1303381	16/03/2007 13:28	05/01/2010 01:27	2990	3367	2361	14	119	1
1322691	16/03/2007 18:56	03/01/2010 01:00	13117	17053	893	9	22	1
1467621	18/03/2007 22:33	27/01/2010 10:31	4942	7445	20577	9	134	1
1599001	20/03/2007 02:17	19/02/2010 01:36	1591	1683	488	7	89	1
1907361	22/03/2007 12:05	12/03/2010 23:26	4995	4570	3033	6	73	1
2077351	23/03/2007 22:21	21/01/2010 19:33	1076	1370	1977	12	138	1
2157321	25/03/2007 00:20	27/01/2010 12:28	10316	12272	1896	9	50	1
2219081	25/03/2007 18:27	28/02/2010 03:03	2001	1534	3681	8	0	1
2243161	25/03/2007 21:50	05/01/2010 00:22	8266	8134	1309	8	115	1
2269491	26/03/2007 02:43	18/01/2010 03:13	745	829	1064	7	157	1
2695911	28/03/2007 12:44	06/03/2010 07:25	3452	3467	1146	8	146	1
2884771	29/03/2007 14:51	01/05/2010 05:52	62962	1234960	4068	8	138	1
3060631	31/03/2007 08:20	16/02/2010 22:12	9214	8372	6667	8	43	1
3076591	31/03/2007 15:12	13/03/2010 06:26	18059	17113	3551	11	114	1
3136731	01/04/2007 11:51	04/04/2010 15:20	3449	6042	7403	13	149	1
3291901	03/04/2007 01:04	01/01/2010 23:44	6071	5913	2072	8	105	1
3881391	09/04/2007 04:29	30/01/2010 06:03	17100	16779	8002	6	139	1
3908631	09/04/2007 09:32	08/06/2010 05:55	1998	1797	3523	10	155	1
4000261	10/04/2007 03:09	04/04/2010 15:20	241	85	176	6	21	1
4046051	10/04/2007 10:51	31/03/2010 14:50	9811	8951	2195	9	55	1
4319321	12/04/2007 02:51	15/03/2010 13:26	565	215	471	10	28	1
4567451	13/04/2007 22:38	06/04/2010 17:50	1715	620	5667	8	38	1
5169871	18/04/2007 19:36	31/01/2010 00:36	1060	299	264	11	37	1
5414782	22/04/2007 18:56	22/01/2010 06:03	7133	7060	1950	4	67	1
5439702	23/04/2007 12:30	04/02/2010 00:49	13746	15414	4901	6	105	1
5448632	23/04/2007 19:35	07/02/2010 13:47	786	341	71	8	116	1
5609382	28/04/2007 13:48	04/01/2010 03:35	8172	7567	1670	6	130	1
5693062	01/05/2007 14:50	29/01/2010 01:12	18933	17429	8103	8	121	1
5732162	03/05/2007 00:47	05/07/2010 13:03	22318	22359	1151	14	99	1
5751742	03/05/2007 16:41	17/07/2010 08:10	4851	4472	12101	7	37	1
5775622	04/05/2007 16:09	05/01/2010 02:11	13782	13694	743	7	143	1
5884032	08/05/2007 21:44	01/01/2010 03:36	5223	5118	57	9	14	1
5925162	10/05/2007 04:54	18/01/2010 02:06	8054	8000	2983	7	157	1
5925682	10/05/2007 05:20	01/01/2010 11:46	16967	15424	11152	9	36	1
5971902	11/05/2007 14:14	11/02/2010 21:30	10937	11365	423	9	74	1
6002602	12/05/2007 23:55	22/02/2010 04:51	16593	15082	1224	8	145	1
6087712	16/05/2007 11:29	05/01/2010 03:17	14379	13072	5757	14	151	1
6154322	19/05/2007 00:22	05/01/2010 12:32	2597	10097	7730	7	144	1
6228472	22/05/2007 05:58	06/06/2010 05:08	423	63	20	10	0	1
6267832	23/05/2007 13:17	12/01/2010 07:49	191	174	63	8	51	1
6332272	25/05/2007 22:18	06/07/2010 09:02	4302	5119	2870	11	133	1
6333392	25/05/2007 23:21	31/01/2010 16:10	9018	9111	2769	11	15	1
6356472	27/05/2007 01:33	31/01/2010 18:07	1869	1431	2176	11	115	1
6774442	12/06/2007 14:03	12/02/2010 07:55	339	150	53	12	156	1
6859412	16/06/2007 17:33	26/02/2010 11:05	3512	4492	1072	13	157	1
6861662	16/06/2007 21:46	05/02/2010 22:01	3673	3567	1281	12	104	1
6871812	17/06/2007 09:53	25/07/2010 01:52	9072	16454	4164	9	81	1
6901952	18/06/2007 18:29	18/02/2010 06:27	949	82	6	6	0	1
6902602	18/06/2007 19:00	29/01/2010 05:29	462	127	11	8	68	1
6982452	20/06/2007 21:21	17/05/2010 04:05	2206	2005	1806	12	0	1
